kind,친절한
excited,신난
farmer,농부
taxi,택시
journalist,기자
coast,해안
station,역
root,뿌리
careless,부주의한
grandparent,조부모
theater,극장
measure,측정하다
cloudy,흐린
cycling,자전거타기
niece,조카(여)
bookstore,서점
nervous,긴장한
homework,숙제
safe,안전한
singing,노래하기
useful,유용한
driver,운전사
athlete,운동선수
important,중요한
gardening,정원 가꾸기
disagree,반대하다
enter,들어가다
shy,수줍은
rude,무례한
diamond,다이아몬드 모양
planet,행성
Korean,국어
salty,짠
warm,따뜻한
plan,계획하다
honest,정직한
wish,소망하다
arrive,도착하다
cook,요리사
farm,농장
badminton,배드민턴
basketball,농구
stranger,낯선 사람
drawing,그리기
subject,과목
create,만들다
cousin,사촌
baking,빵 굽기
lawyer,변호사
borrow,빌리다
cliff,절벽
collect,모으다
solve,풀다
fishing,낚시
compare,비교하다
mix,섞다
trail,오솔길
agree,동의하다
painting,그림 그리기
frozen,냉동된
toy store,장난감 가게
dancing,춤추기
explain,설명하다
brave,용감한
attend,참석하다
August,8월
boxing,권투
useless,쓸모없는
tennis,테니스
magician,마술사
arrange,배열하다
introduce,소개하다
number,숫자
discover,발견하다
cafeteria,급식실
soccer,축구
ant,개미
relieved,안도하는
leave,떠나다
earthquake,지진
wonderful,멋진
remember,기억하다
fresh,신선한
airplane,비행기
English,영어
bored,지루한
rocket,로켓
writer,작가
sweet,달콤한
spicy,매운
